BLCA_diff,BRCA_diff,CESC_diff,COAD_diff,ESCA_diff,HNSC_diff,KIRC_diff,KIRP_diff,LIHC_diff,LUAD_diff,LUSC_diff,PRAD_diff,READ_diff,STAD_diff,THCA_diff,UCEC_diff,BLCA_zscore,BRCA_zscore,CESC_zscore,COAD_zscore,ESCA_zscore,HNSC_zscore,KIRC_zscore,KIRP_zscore,LIHC_zscore,LUAD_zscore,LUSC_zscore,PRAD_zscore,READ_zscore,STAD_zscore,THCA_zscore,UCEC_zscore,GIP_1,GIP_2,GIP_3,GIP_4,GIP_5,GIP_6,GIP_7,GIP_8,GIP_9,GIP_10,GIP_11,GIP_12,GIP_13,GIP_14,GIP_15,GIP_16,gene_count
0.390514644,-0.410708073,0.134317718,-1.695663383,0.002276076,-0.508919219,-0.341431323,-0.230122015,-0.400572999,-1.549145345,-0.914859556,0.754194232,-0.944551874,-0.057765406,-0.497828221,-0.022594688,0.87583977,1.380833995,1.019487007,0.761541448,1.007574897,1.156229296,0.923188477,0.632449369,1.270180472,1.207160307,0.917473778,1.000745078,0.953299531,0.835240483,2.584700197,1.235452788,-0.035209868,-0.015341322,-0.019373488,0.010341373,-0.048087984,0.008241514,-0.06914987,-0.05100475,-0.08502514,-0.016622866,0.01192477,0.001078834,0.009244805,0.023379648,-0.036738776,0.027485419,2168
0.263464198,-0.666470271,-0.198209037,-3.608245227,-0.115043276,-0.287485931,0.901898385,-0.657894705,-1.025603738,-1.568798657,-0.765754317,0.137240754,-3.603634381,-0.069074818,-0.851203727,-0.019735568,1.114357742,3.725904192,1.75741293,1.385052139,1.014934295,1.892192883,1.569012365,0.60959036,0.992840936,1.918466017,1.930029055,0.854820499,1.375332259,1.077080512,1.481429427,2.345770341,0.010308411,-0.048718944,-0.045077242,-0.008454032,-0.037735242,0.014554705,-0.027318446,-0.005588775,-0.039074484,-0.01078184,-0.01980831,0.005627154,-0.004258832,0.03269051,-0.027262071,-0.031161685,2120
-2.503161307,-2.163016734,-2.090139094,-3.302526244,-0.747442708,-2.244946316,-0.351994633,-0.459295805,-1.78057618,-1.97616089,-1.231707299,-0.033955164,-3.49857007,-1.109460851,-0.740733111,-1.767255419,0.056829824,0.303399006,0.312796523,-0.008824634,0.093423458,0.200071368,0.169783878,0.137947716,0.274433934,0.106014699,0.153342683,0.644374811,0.010172985,0.086338345,0.750447191,0.265515888,-0.015553048,-0.044913467,0.002423763,0.001919212,0.012037466,0.010893379,-0.01691834,-0.042822964,-0.037650436,0.011365918,-0.003856238,-0.014563463,0.012230862,0.020013003,-0.017309766,0.009036288,464
0.821150138,-0.050697369,0.830985575,-3.766660457,0.516892599,0.616731395,0.229946432,-0.039691812,-0.125992852,-2.514022501,0.140841621,0.593008871,-4.710045802,0.456434957,-0.040853542,0.990293865,0.013037159,0.005590537,0.00829722,0.02637542,-0.006135183,-0.003088691,0.001669939,-0.012874166,-0.003696476,0.03030876,0.020749777,-0.026044253,0.042315681,0.00852454,0.086810052,0.042230578,0.001597603,-0.009663556,-0.004106838,0.055742852,-0.017148163,0.023510836,-0.05170148,-0.038888622,-0.062439404,0.001528784,-0.013887556,-0.003704579,-0.022207009,0.035931285,-0.027334338,0.016453288,1434
0.709841924,0.091266039,-0.123210042,-1.496656613,0.131002061,-0.055742174,-1.17688077,-0.539349075,-0.108556895,-1.090078217,-0.496425151,0.340322325,-1.602153908,-0.485739435,0.317629467,0.634853661,0.132258884,0.08217983,0.051565225,-0.00043376,0.079526664,0.046802943,0.076550905,0.058909958,0.046589269,0.101216647,0.034528179,0.023038253,0.024967157,0.053998122,0.383356843,0.110995387,0.010158964,-0.004792413,-0.005507287,0.056417067,-0.05857453,0.013178075,-0.03827729,0.014799255,-0.055862315,-0.058016494,0.004282463,0.0312589,-0.004956945,-0.005380498,-0.044571936,0.021202248,1641
0.426696415,-0.346758625,0.986119451,2.877306321,0.197795363,-0.580341485,-1.202289836,-0.065168911,-0.484301971,-1.817664953,-0.673306962,0.70621212,4.556975338,-0.088943517,-0.558712606,-0.107243127,0.472215259,0.39417559,0.441797145,0.41190079,0.642597534,0.513187532,0.486904525,0.342687051,0.782074665,0.576102675,0.336477232,0.36195965,0.723619767,0.434726587,1.806095642,0.37843197,-0.08563332,-0.03587782,-0.05325835,0.0647407,-0.0689371,0.06623659,-0.13021076,-0.07014461,-0.07868405,-0.08009254,0.002817096,-0.066986755,0.07820891,0.011941822,-0.009104131,0.003520178,1747
0.94625134,0.030352519,0.814871234,1.079397989,-0.16173628,-0.237667142,-0.864269307,-0.053194539,-0.552686175,-0.636011967,0.132113266,0.500561015,2.168756399,-0.021630597,-0.552757914,1.080004691,0.012567998,0.009641703,0.004389714,0.012114184,0.024154657,-0.003353034,0.008192902,0.007076459,0.040331747,0.018272663,-0.003220563,-0.009476774,0.03659214,0.021637774,0.102072546,0.098292493,0.013875742,0.005543403,-0.04271938,0.005070222,-0.041560426,-0.005444802,-0.04806311,-0.003864274,-0.07672608,-0.002870379,0.014219418,0.007364216,0.001976149,0.016402347,-0.053195577,-0.001257946,1609
0.104824154,-0.484918258,-0.006347198,-0.749871657,0.723526083,0.196477805,0.754732709,0.336560439,-0.313575639,0.299695806,0.095516856,0.350767549,-0.49946686,0.309892642,-0.216863841,0.170141063,-0.012154744,-0.000782971,-0.000166174,-0.022709258,-0.006836809,0.012076897,-0.006562429,-0.017871801,-0.035636616,0.009590688,0.009463708,-0.036294381,-0.021719233,-0.002646708,0.302426769,-0.019876584,-0.01470881,-0.008687981,-0.00978386,0.015035842,-0.04574632,0.026208133,-8.11E-05,-0.018492613,-0.031390887,-0.02631292,-0.006989373,-0.014742756,-0.007778952,0.013671529,-0.05818839,-0.004340375,1527
-3.735421423,-6.495706916,-4.27180707,3.218076892,-3.094800648,-6.624452493,-2.032637798,-3.09178275,-0.890427208,-2.434391431,-2.611753547,-0.584023633,3.676724143,-3.726158764,-1.658085208,-4.349697881,-0.058659092,-0.067056312,-0.056958713,-0.06855206,-0.055704438,-0.023593243,-0.06308343,-0.053299131,-0.068951861,-0.057338753,-0.064477131,-0.045997198,-0.06808536,-0.056240635,-0.076447708,-0.07315238,-0.03287284,-0.05890833,-0.03158331,0.06644395,-0.04687309,0.032674763,-0.014177885,-0.051093448,-0.090262845,-0.071178526,-0.03317911,-0.041065823,0.04633969,0.001687162,-0.027616307,0.023614429,746
-1.78133115,-2.221930349,-3.052631952,-0.584922511,-1.307534997,-1.986323164,0.005477191,-1.242728546,-0.850081713,-0.178969746,-1.73100239,-0.338739651,-0.196814524,-1.059209142,-1.245592608,-3.146331943,0.268331771,0.398381898,0.232642926,0.139122151,0.161978857,0.266197577,0.416802051,0.237937514,0.843393789,0.866724605,0.583989983,0.794911171,0.157773402,0.26733107,1.889314085,0.409441877,0.023224663,-0.026750958,-0.002929367,0.013329346,-0.014329212,0.003705413,-0.036912233,-0.02646035,-0.07372612,-0.043605097,-0.039589096,0.01608043,-0.010416406,0.02805866,-0.046997547,-0.010225542,541
-0.102400813,-0.458500509,-1.229827765,4.884077991,-0.479638266,-2.00797046,0.765071465,-0.395671082,-1.519491331,-0.90855269,-2.040293894,-0.186679576,4.671766836,-0.284672846,-0.407004113,-1.85125335,0.445887076,0.632607588,0.495066221,0.333010022,0.248686702,0.460161926,0.699546395,0.538153413,1.436704746,0.619124104,0.741072745,0.771035202,0.334216284,0.422684231,2.110380103,0.53490507,-0.004801314,-0.05864102,-0.07565193,0.07299455,-0.091854274,0.049841024,-0.11556335,-0.051550154,-0.11145997,-0.09049086,0.0251561,-0.08454584,0.13130975,0.05955024,-0.009830916,-0.048403997,1047
-0.086917753,-0.453875386,-1.207747359,4.906695016,-0.47297137,-2.006081935,0.765284323,-0.392587561,-1.522794998,-0.895273161,-2.035518819,-0.196788561,4.638594959,-0.282242489,-0.409174577,-1.851827132,0.440726333,0.629503549,0.490183741,0.330617408,0.244648449,0.455776008,0.69740305,0.531903609,1.420690335,0.614829897,0.737096332,0.765325755,0.33120874,0.41996911,2.092550681,0.531012829,0.008088172,-0.0613189,-0.07228035,0.06887758,-0.06778528,0.038368803,-0.11402751,-0.055013806,-0.10060246,-0.09094785,0.015511572,-0.072185144,0.105316274,0.057810314,-0.01780247,-0.052034747,43
0.917944401,0.561321324,0.683347689,0.338702712,0.678768611,0.377516123,0.524696715,0.510864035,0.718230995,0.028507844,-0.093658814,1.107472204,1.379069487,0.96187245,0.005114923,1.306061291,1.77909544,1.230263866,1.074066894,0.849583015,1.462446225,1.253270677,0.612581676,0.74899892,1.808998357,0.85939746,1.294159462,0.7631638,0.82769732,1.004101885,1.75870811,1.200014026,-0.12998098,-0.02636578,-0.1229549,0.07320829,-0.1936663,0.07838053,-0.19021836,-0.11867943,-0.12030182,-0.0891758,0.034514297,-0.19307189,0.20760828,0.067209244,0.05663362,0.051792845,57
0.915866443,0.560529441,0.679147704,0.33957463,0.682774183,0.379346736,0.523067757,0.511316292,0.721161111,0.030991651,-0.093125282,1.111606358,1.372398361,0.960634896,0.004745003,1.30102175,1.7771624,1.229866834,1.071675486,0.847809472,1.46192808,1.250860097,0.612016763,0.748324209,1.806278308,0.856188881,1.29184353,0.763128859,0.825905649,1.002360174,1.754249932,1.196271059,-0.14512055,-0.037786126,-0.12775771,0.07531788,-0.21401408,0.08131399,-0.19120336,-0.121321775,-0.11929493,-0.09640101,0.041849624,-0.21412227,0.2257011,0.07919971,0.066031635,0.042308375,1908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414449,-0.07000146,-0.057947771,-0.071169361,-0.058869286,-0.060294028,-0.06385864,-0.053622999,-0.069634998,-0.058158615,-0.065069009,-0.058183208,-0.072364589,-0.060489092,-0.078626881,-0.075322687,-0.2506263,-0.10986319,-0.26193047,0.11349389,-0.3475284,0.15165435,-0.3071762,-0.23530786,-0.14537083,-0.1878184,0.14234707,-0.4524799,0.3636564,0.11936656,0.15533082,0.05932729,40
1.412842556,1.537788091,2.420459257,-1.28686324,3.90136583,2.24460764,-0.14343229,-0.006937259,4.040072592,1.886876346,3.933148676,-0.174421507,-1.789376255,2.806104049,1.220031842,0.061925483,-0.052056089,-0.067852411,-0.054227425,-0.070064191,-0.054293078,-0.056431976,-0.063752317,-0.053368853,-0.066730477,-0.054789369,-0.056495443,-0.058147055,-0.069988608,-0.055049999,-0.078598454,-0.072273829,-0.32548654,-0.13772835,-0.29919788,0.124813475,-0.44178298,0.18107745,-0.3836837,-0.2187811,-0.13543385,-0.24527518,0.1787053,-0.599982,0.54033506,0.12216968,0.15701906,0.010935692,152
