0,0,0,0.045473646,0.062030863,0.004339649,0,0.003596698,0.057510223,0,0.024825064,0.011351279,0.021198073,0,0.027937565,0,0.026775043,0.01367081,0.045468677,0.014620192,0.09476779,0.16449691,0.02482329,0.016332036,0.07979351,0.25572526,0.002580805,0.02295221,0.14804809,0.025864,0.33576727,0.009589939,0.08366924,0.025168546,0.12771088,0.095462896,0.07173075,0.10227843,0.20048828,0.010198319,0.14821146,0.11669208,0.029950147,0.046373136,0.0794174,0.275879,0.10551467,0.07092357,0.1534945,0.19105256,0.13927229,0.31641552,0.001591481,0.24486752,0.10296685,0.009384298,-0.059197538,0.14038445,0.078644074,0.1961808,-0.08955992,0.34187683,0.007438901,0.11104453
0.101469144,0.114481024,0.053236436,0.06805778,0.6705529,0.031057347,0.11808836,0,0.5721976,0.053474903,0.27089256,0.59204113,0.05881857,0.15765926,0.16272865,0.24315579,0.34660834,0.15594472,0.015641958,0.020823194,0.0833207,0.17977391,0.15940244,0.08890051,0.03282612,0.13331467,0.08681471,0.19065207,0.006269462,0.14741616,0.09562096,0.15925029,0.018695213,0.020524092,0.004181304,0.020720905,0.013600079,0.002660842,0.011143872,0.03613988,0.002703879,0.001049519,0.04145797,0.012910816,0.014697808,0.004770155,0.036545947,0.051712304,-0.46248522,-0.06297509,-0.5281718,-0.3679351,-0.31990933,0.10003061,-0.62850624,-0.41891545,-0.3119969,-0.3110545,0.22188993,-0.3584157,0.32941183,-0.39767635,0.5033374,-0.09992563
0,0.020391472,0,0.045357734,0.05137193,0.021683918,0.019501988,0,0.030643923,0,0.12371374,0.02186828,0.021184176,0,0.027904214,0,0.015000219,0.008677803,0.008941161,0.002366724,0.07277087,0.007389851,0.013745264,0.003019966,0.006493622,0.017336115,0.16087659,0.003466508,0.010959495,0.017799733,0.009847495,0.004650122,0.018146275,0.017561007,0.009973771,0.000455208,0.003526768,0.06923511,0.030358713,0.008315324,0.068682425,0.03777736,0.06889875,0.0980353,0.00250604,0.053611036,0.03176132,0.02451061,0.65970033,-0.44729683,-0.27773288,0.39788124,0.38973764,-0.13149287,0.19840796,-0.691813,-0.43405706,-0.02605925,0.08766157,-0.444373,0.35244262,-0.5494454,0.37625965,-1.0018966
0.012829226,0.010627464,0,0.02264816,0,0.010999919,0,0,0.030737227,0,0,0,0.005445758,0,0.028207663,0,0.011393964,0.017157476,0.007984419,0.02212964,0.0099813,0.01778281,0.03356136,0.027183436,0.033112105,0.002926505,0.006911163,0.016715076,0.001556386,0.001772866,0.018168421,0.021734871,0.026305594,0.108230524,0.062735505,0.024607195,0.055741563,0.05374248,0.07049413,0.029120492,0.10142559,0.13120148,0.12560259,0.06383395,0.06788898,0.110658005,0.09089564,0.05108791,-0.16828278,-0.72822535,0.000985574,-0.37264827,-0.5419741,-0.46656528,-0.35945004,-0.43254614,-0.6737273,-0.33885592,0.71294934,-0.798008,-0.7086088,-0.24540918,0.51403725,-0.01069421
0,0.01045907,0.028161153,0,0.04838316,0.016110616,0,0,0,0,0.024660878,0.02179964,0.020615239,0,0,0,0.06486383,0.013866677,0.021789493,0.09792509,0.10507862,0.011788785,0.03904913,0.029098153,0.07010602,0.04511152,0.01604856,0.066469625,0.007042033,0.010140644,0.07144998,0.003529617,0.04014974,0.080074124,0.005784822,0.05517779,0.016954737,0.117112145,0.04325098,0.04601785,0.0678127,0.02587701,0.014612883,0.011166781,0.004591635,0.026543563,0.066404074,0.020181341,6.5221677,-2.0801466,2.051365,7.7656417,-6.9278407,-0.72607386,-5.392841,-3.2092085,1.4904938,-5.5553102,8.014996,-1.5937525,8.287197,-2.2467935,-8.143787,3.861393
0.025642289,0.010368865,0,0.022755386,0.025525162,0.021571724,0.040046036,0,0.061232507,0,0.07487297,0.026762621,0.010707274,0,0.055200394,0.04096178,0.000745586,0.001441559,0.048123132,0.004465034,0.053732373,0.00085359,0.05010769,0.015943542,0.033143762,0.002477285,0.01866965,0.006555062,0.012969267,0.01077465,0.002273542,0.014813297,0.010756712,0.01850431,0.006741159,0.027264884,0.022114588,0.007873431,0.004803912,0.041376766,0.03993456,0.001879198,0.008328159,0.02721865,0.010863158,0.007045348,0.012519567,0.02050802,0.07144501,-0.33259696,-0.5081906,-0.62261504,-0.3505729,-0.43318215,-0.33501288,-0.42006704,-0.06267354,-0.013461188,0.44099638,0.038734507,-0.26973066,0.045761295,-0.038534112,-0.04445298
0.025508247,0.030947926,0,0.022687307,0.100089796,0.043509107,0.07978418,0.006922647,0.030343974,0.053087328,0,0.029534219,0.03172623,0,0.104733236,0.12152626,0.22325282,0.4396864,0.30206463,0.5259131,0.4230195,0.4123107,0.23618573,0.119004235,0.15352605,0.4784797,0.56493825,0.072041646,0.35832867,0.38097012,0.33863303,0.011297802,0.003050681,0.23064332,0.09593456,0.03348045,0.034389812,0.002677204,0.32138377,0.06813057,0.18273507,0.1445615,0.12091765,0.24233419,0.053505473,0.4003804,0.32336047,0.10289548,0.2194806,-0.22621,0.16145846,0.15564156,0.31172055,-0.04537199,-0.34786668,-0.56567943,-0.16972014,-0.19691576,0.02643791,-0.06446091,0.13224252,-0.5203277,0.39787433,-0.60819405
0.02553842,0.015705863,0,0,0.01293787,0.0270647,0,0.003600051,0,0.053044964,0,0.014624039,0.005392376,0,0,0,0.022122892,0.001060416,0.004396468,0.011221265,0.024422595,0.008739861,0.006045854,0.004277781,0.012776398,0.021669734,0.06098131,0.005707671,0.009801929,0.01726592,0.018161979,0.021503694,0.022746911,0.085124165,0.004665534,0.067369275,0.022040278,0.007317639,0.029958514,0.045167133,0.07571165,0.086004086,0.05969216,0.0967698,0.000501761,0.090153135,0.115885586,0.013647748,0.1773038,-0.1537227,0.2519372,-0.33678102,-0.21368654,-0.19437714,0.50897855,-0.19873945,0.041236017,-0.11548905,-0.032323144,0.14624667,0.13691121,-0.04538489,-0.23243636,0.016654776
0,0.010470401,0,0,0,0.016383987,0,0.003602526,0,0,0.025028255,0.00386186,0.010754744,0,0,0.040901866,0.002877164,0.014979724,0.00805466,0.010436215,0.008353609,0.007650494,0.004130673,0.006107149,0.01316511,0.000985096,0.004721617,0.005942092,0.000546925,0.007242604,0.001329029,0.004285286,0.003590921,0.19343506,0.07863644,0.0879809,0.11631603,0.09736627,0.20807223,0.07032269,0.20966133,0.18900776,0.15296993,0.269565,0.105986536,0.22496009,0.25908327,0.016957805,-0.26949963,-0.6372534,-0.58043575,-0.39443785,-0.013640706,-0.6679811,-0.5869838,-0.6296899,-0.87128425,-0.84046406,0.3495615,-0.47025588,-0.094518445,-0.45673332,0.41076264,-0.26877826
0,0,0,0,0,0,0,0,0,0,0,0,0.005424891,0,0.02821653,0,0.007079962,0.003474077,0.003638592,0.004811573,0.010703184,0.001305751,0.001733169,0.005748611,0.00822342,0.002932355,0.005845765,0.000552903,0.001401046,0.006200146,0.00178249,0.000706412,0.011458647,0.012059326,0.007857548,0.030111419,0.003122685,0.005434408,0.008417665,0.004851131,0.043287728,0.03327361,0.011791869,0.048083898,0.012641544,0.018863086,0.062314246,0.028506756,-0.083881415,-0.18972218,0.26965088,-0.006624355,0.14077109,-0.57500046,0.49021456,-0.25081974,-0.6248758,-0.11337375,0.30030742,0.332218,-0.07875141,-0.32130998,-0.4420335,0.053178594
